0
(0.113193 14 1 5 , 0.168407 15 1 5)
(0.0448371 7 29 8 , 0.168586 9 27 8)
(0.074647 4 27 20 , 0.168598 3 27 20)
(0.146901 5 4 15 , 0.168705 4 4 15)
(0.0121056 12 2 15 , 0.168815 12 3 15)
(0.0938112 11 18 29 , 0.169075 11 18 28)
(0.104184 29 16 3 , 0.169099 29 15 3)
(0.0125372 25 7 24 , 0.16941 25 7 23)
(0.0653714 20 8 29 , 0.169774 21 8 29)
(0.115749 29 19 27 , 0.169857 29 20 27)
(0.140643 29 21 27 , 0.169857 29 20 27)
(0.0283847 27 18 12 , 0.17096 29 18 12)
(0.158661 4 29 1 , 0.171152 5 29 1)
(0.111963 11 6 2 , 0.171347 11 6 3)
(0.031242 9 9 25 , 0.171704 9 8 26)
(0.118798 9 8 27 , 0.171704 9 8 26)
(0.0279014 10 6 9 , 0.171933 9 7 9)
(0.110389 9 8 9 , 0.171933 9 7 9)
(0.0602719 27 4 24 , 0.172509 26 5 24)
(0.125826 20 22 29 , 0.172949 20 23 29)
(0.140167 21 23 29 , 0.172949 20 23 29)
(0.0291931 14 11 14 , 0.173032 14 10 14)
(0.0435326 23 19 12 , 0.173193 23 19 11)
(0.0837727 28 22 1 , 0.173213 28 21 1)
(0.144606 13 4 23 , 0.173252 13 4 22)
(0.0784034 12 1 0 , 0.173256 12 2 1)
(0.138737 10 0 23 , 0.173305 10 0 22)
(0.044542 7 8 29 , 0.17338 7 9 28)
(0.0628797 7 24 25 , 0.173523 8 24 25)
(0.0856598 8 24 26 , 0.173523 8 24 25)
(0.0238085 26 21 11 , 0.174408 25 21 11)
(0.171839 18 21 1 , 0.174518 19 21 1)
(0.127598 23 22 18 , 0.174776 23 22 17)
(0.0940153 1 28 21 , 0.175011 0 28 21)
(0.152295 8 26 25 , 0.175583 8 26 24)
(0.0211463 4 12 21 , 0.175717 3 12 21)
(0.159185 2 4 6 , 0.175989 2 5 6)
(0.083172 9 7 20 , 0.176385 9 8 20)
(0.0708206 4 9 7 , 0.176458 4 8 7)
(0.156551 1 11 0 , 0.176478 1 11 1)
(0.121703 7 12 27 , 0.176493 8 12 27)
(0.141721 6 23 12 , 0.176595 6 23 13)
(0.0805882 4 9 9 , 0.176851 4 8 9)
(0.0816889 5 1 27 , 0.177609 5 1 28)
(0.168471 5 2 28 , 0.177609 5 1 28)
(0.137745 0 29 23 , 0.17763 0 29 22)
(0.0726491 18 12 21 , 0.177654 18 12 23)
(0.165733 18 12 24 , 0.177654 18 12 23)
(0.0543203 15 23 2 , 0.177772 14 23 1)
(0.127538 2 18 17 , 0.177925 2 17 17)
(0.099359 9 20 2 , 0.177966 9 20 1)
(0.0955245 9 25 29 , 0.17798 9 27 29)
(0.0406521 7 20 17 , 0.17952 7 19 16)
(0.0340087 5 5 27 , 0.18081 5 4 27)
(0.16352 5 10 9 , 0.18084 4 10 9)
(0.0428282 17 6 7 , 0.180903 17 6 9)
(0.145649 14 11 19 , 0.181553 13 11 19)
(0.0768765 20 22 6 , 0.18169 21 22 6)
